movie,tokenCount,characterCount,sectionCount,afraid,amused,angry,annoyed,dont_care,happy,inspired,sad,totalProbSum
littlenicky,9127,66,1396,0.115292150681361,0.134266717891098,0.113064289220126,0.122673993756133,0.132146686873569,0.117189519551177,0.141954389769062,0.123412252257475,98.6769750491637
livinginoblivion,9029,22,1348,0.112730504796402,0.133884262399906,0.114576572251828,0.12446488962137,0.13190874984007,0.117695151227258,0.142133775561549,0.122606094301618,95.4483250675371
logansrun,11452,189,1190,0.119347220106269,0.131020470963252,0.11248487656209,0.120600218503512,0.130319260369159,0.116080724734696,0.143016952020907,0.127130276740115,102.681863230415
lonestar,11547,57,1622,0.116641525846904,0.132172968884164,0.114043452722491,0.122239345758432,0.131265740972071,0.115944194644887,0.141748770087077,0.125944001083974,139.627012755656
longkissgoodnightthe,15156,66,1455,0.12245058692696,0.128283641764165,0.12182428725678,0.124597036871485,0.128113008365332,0.113948004304048,0.131380691777473,0.129402742733757,163.748555936553
lordofillusions,9987,43,1479,0.114303586967083,0.133556396828833,0.114898248311541,0.12258904377757,0.131138765617392,0.116607521934338,0.140760769928151,0.126145666635091,85.7857223054662
losersthe,10520,91,1536,0.115357577592042,0.13316131853302,0.114962617277395,0.12238054810259,0.13121849071339,0.11791009449372,0.140929573764457,0.124079779523387,89.2309785493148
losthighway,11784,64,1304,0.115833503942947,0.132840127861308,0.116715743721481,0.123179610969487,0.130687661886381,0.116634536207902,0.137539928109634,0.12656888730086,114.691396504891
lostintranslation,6779,35,801,0.11343489186524,0.134974677292101,0.113878634491394,0.123550468189077,0.133039153284741,0.116508320442052,0.141297348464968,0.123316505970426,69.4264115230009
loveandbasketball,10625,51,1633,0.113603517355697,0.131835128130811,0.116649898373816,0.123935617846775,0.131690601004787,0.1194911417638,0.137961871464562,0.124832224059751,120.480629411359
machete,7649,67,1136,0.11489753119211,0.132323857146368,0.115934486556019,0.123155949221094,0.130197002862261,0.117430396074135,0.141834697261179,0.124226079686835,54.3737610376381
machinegunpreacher,14249,74,1737,0.122901288944445,0.128379496122378,0.118682949067771,0.121632523271515,0.127456949421967,0.114071498586525,0.135584231756782,0.131291062828617,171.432113140669
magnolia,18818,130,2515,0.118355745340296,0.130620874678812,0.120253039810713,0.125613643296653,0.12994423658376,0.114657597249412,0.135312826147103,0.125242036893251,273.208884713825
majesticthethebijou,13926,64,1502,0.117648660781861,0.131165902985587,0.117869829881429,0.124002123592724,0.130198285754339,0.116006200889128,0.137560503030622,0.125548493084308,153.868828280844
majorleague,12297,56,1299,0.110782652243427,0.135365958022091,0.109866002437088,0.121636202349181,0.134303174402841,0.122315177598926,0.144033943347938,0.121696889598508,136.737429571049
manhattanmurdermystery,18650,24,2573,0.113672868383511,0.134368349488557,0.115914578697902,0.123703865541615,0.132001576658318,0.116203281779644,0.140956592141595,0.12317888730886,261.497782033064
manintheironmask,12941,58,1445,0.117972587993159,0.131633187319339,0.115806468885624,0.121417826926495,0.130030222509322,0.115110999825406,0.139410491413434,0.128618215127221,104.495838785987
marthamarcymaymarlene,6772,37,1121,0.112091106538427,0.133396349148126,0.11367104962696,0.123263016168843,0.130562864126681,0.115972503007212,0.146885995368918,0.124157116014833,62.3862684793523
matrixthe,11955,43,1613,0.11651003671545,0.133089574004008,0.115569680270009,0.122435197867,0.129420490567622,0.115435609112538,0.141366047574453,0.12617336388892,95.6424171499447
meanstreets,9594,109,1204,0.115112292371265,0.133336905834497,0.116110280949765,0.123676864435936,0.132114126676187,0.115605063647825,0.139203701071625,0.124840765012901,101.93731783755
meetjoeblack,14020,26,2160,0.119264049585807,0.129194616693184,0.122901022866233,0.127753430169603,0.128733021272868,0.114095239283538,0.133286444725586,0.124772175403182,192.587604964791
meninblack,12336,38,1350,0.115607956703866,0.135157933552258,0.112792695783819,0.122068172188827,0.131601673740224,0.118110769537532,0.140945250539853,0.123715547953621,105.014096559543
metro,13844,46,1767,0.115487104177885,0.132959039449382,0.114956302777828,0.122706976543571,0.130638372550689,0.117321168386589,0.140998962922085,0.124932073191971,144.557651446402
miamivice,10495,40,1167,0.120222135188883,0.130481911504361,0.118793319348778,0.124280376790794,0.129072502630034,0.115001500248478,0.136044181152551,0.126104073136121,89.1219791978378
midnightcowboy,11998,62,1199,0.116259972461887,0.133539417551135,0.116513961246271,0.123202075009386,0.131243276720921,0.116591645599011,0.136895302755947,0.125754348655443,102.656300111127
