movie,entropy,pctRecordsDropped,pctTokensDropped,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount
threekings,1.53285057221447,0.0140061791967044,0.00778873068029695,2,1,1,1,1,0,0
bodyofevidence,1.54155205513178,0.0616822429906542,0.0209595708751366,1,1,1,2,2,0,0
spareme,1.54466427913488,0.0180124223602484,0.0110565110565111,1,1,1,3,2,0,0
wonderboys,1.54891164126434,0.031496062992126,0.0147816826411076,1,1,1,4,1,0,0
hackers,1.55186018978815,0.0117568021498153,0.0072161880672519,1,1,1,1,0,0,0
shawshankredemptionthe,1.5551631563648,0.0224148868682597,0.00986563592858458,1,1,1,3,5,0,0
alien,1.56206457857452,0.0509183910718438,0.0248145902327534,1,2,1,1,3,0,0
darkstar,1.56865817454531,0.0329244673983215,0.0177211254469143,1,1,1,1,1,0,0
stepmom,1.57369837677882,0.0326194398682043,0.0145111136703904,3,1,1,1,2,0,0
insiderthe,1.57897537614948,0.104825291181364,0.0411613805970149,2,2,1,1,2,0,0
talentedmr.ripleythe,1.59509876241876,0.067216391804098,0.0388963107594286,2,1,1,1,2,0,0
starshiptroopers,1.61347966995153,0.0114807872539831,0.00907424791024094,1,1,1,4,1,0,0
limeythe,1.6174076079093,0.0558809175207418,0.032258064516129,1,2,1,1,2,0,0
magnolia,1.62065977991749,0.0485463150777552,0.0194239785666443,1,2,1,1,5,0,0
almostfamous,1.62736576976512,0.0662424067110211,0.0339365843511337,3,1,1,1,2,0,0
edtv,1.62750528333249,0.0626965045311633,0.0318510950202123,1,1,1,1,1,0,0
nursebetty,1.62961848180625,0.0606322335463811,0.0214751595892312,1,2,1,4,2,0,0
diehard,1.67352499487302,0.0998104864181933,0.0439059500959693,2,2,1,1,3,0,0
enemyofthestate,1.68460402612239,0.0502174772637406,0.0286408692337019,1,1,1,1,2,0,0
graduatethe,1.75628154543814,0.0374026960318967,0.0192731515491984,1,1,1,3,1,0,0
swingers,1.83483298658054,0.0787381379840985,0.0439358707624526,2,1,1,1,1,0,0
startrekiithewrathofkhan,1.8893767064699,0.0664359861591696,0.0321590971347176,1,2,1,4,3,0,0
highlander,1.95137158723399,0.0263484961471539,0.0129523145728059,1,1,1,4,9,0,0
familymanthe,1.97267006888884,0.0579310344827586,0.029672259800441,2,1,1,2,3,0,0
