id|movie|tokenCount|characterCount|sectionCount|genreList|Action|Adventure|Animation|Biography|Comedy|Crime|Drama|Family|Fantasy|Film-Noir|History|Horror|Music|Musical|Mystery|Romance|Sci-Fi|Short|Sport|Thriller|War|Western|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|genreCount
62|blackrain|12460|31|1185|Action, Crime, Drama|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.00560661117284084|0.0553979126998048|-0.0463381106093308|-0.0101616716755325|0.00634894675451627|-0.0111960383939091|0.032511793343751|0.0389989718340925|3
63|blacksnakemoan|13669|35|1343|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.00703290212844108|-0.00636473382551981|0.0662489834416215|0.0517574347851994|0.0239989382455405|0.0276668963709548|0.0259863894437779|0.039190002866133|1
64|blade|14424|34|1104|Action, Horror, Sci-Fi|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0.0743594206149307|0.0258918063215129|0.0124749465426015|0.0110387105777067|-0.0737141716924063|0.00258724410063686|-0.0138959391360693|0.0462672178443092|3
65|bladeii|14577|24|1012|Action, Horror, Thriller|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0.0828014403176006|0.0481828636422619|-0.00181678691417919|0.0127523703364251|-0.0523058929029221|-0.0538609590612796|-0.028359604838801|0.0253824647463882|3
66|bladerunner|13227|33|1311|Action, Drama, Sci-Fi|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|-0.0312336488526678|0.0252934307551824|0.002670094040133|-0.027217341521977|0.00956320580132356|0.00263179091162821|-0.053351956607947|0.00531549542548452|3
67|bladetrinity|14739|57|1060|Action, Fantasy, Horror, Thriller|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|1|0|0|0.0748661325547478|0.0571086649285404|-0.0152992329966201|0.0168482841869239|-0.0276615286376741|-0.0572374665442796|-0.0204987078342472|0.0571727391363482|4
68|blastfromthepastthe|13683|57|1932|Comedy, Drama, Romance|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.058039376722922|0.00215187272073297|0.00344717601455207|-0.0250583217158478|0.0040994145282771|-0.0296546497418042|-0.00281394083360565|-0.00840363786625035|3
69|bloodsimple|11498|20|834|Drama, Thriller|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.0149174627644333|0.069884508232041|0.0377335995392602|-0.0293861572894829|0.097963755531|-0.00928826066301924|0.0127829497315798|-0.0215213999785093|2
70|blow|12866|67|1567|Crime, Drama|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0586469796686057|-0.0273729757301002|-0.00667943451402926|0.00175531460979844|0.00577660506443948|-0.0505833378894939|0.0447816275168697|0.0514877525670258|2
71|bodyofevidence|11346|26|1292|Romance, Thriller|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|-0.00287181836071875|0.000961336349948727|-0.0303267128554326|0.0129056491261536|0.0527724202051791|0.0620337906570898|0.0209272599649044|-0.0356617534441018|2
72|bones|15779|36|1282|Horror|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0.03882419707813|0.0383736082275235|0.0679016658825989|0.075477613608546|-0.0257186707105764|0.0249194383268025|-0.0241065416836326|-0.00132440984982535|1
73|boondocksaintsthe|14962|52|1300|Crime, Drama, Thriller|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.031862858934787|0.00991282146070638|0.0197320038710644|0.0633726190355536|0.00596557891746301|-0.0787739070995138|0.0316967180862364|-0.0359810382358139|3
74|bottlerocket|11120|36|1716|Comedy, Crime|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0335561692528678|0.0637390870032195|-0.0151992350437524|-0.0128687323426868|-0.00383321458707653|-0.0498231830363086|0.0303106714100654|0.0671486822747794|2
75|bound|10408|15|1657|Crime, Drama, Thriller|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0.00333239134081539|0.036495927061018|0.0331315917300669|-0.051817581953558|0.0441384304218628|-0.0408366260428741|0.0463038901445416|-0.0119398546903861|3
76|bourneidentitythe|12115|57|1108|Action, Adventure, Drama, Mystery, Thriller|1|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0.0161401635520991|0.0676617676891141|-0.0831706671211555|0.0040765816922461|0.0277539451928736|-0.00797860212285431|-0.0279294526842353|-0.000726930281750948|5
77|braveheart|14969|87|1263|Action, Drama, War|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0.0660644668010366|-0.0918155685087559|-0.0589056541565278|0.0371699848956494|0.0581724305873338|-0.00531200531696604|0.0280522170617999|-0.0098662091944122|3
78|bringingoutthedead|10548|53|1140|Drama|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.0573316882136283|-0.0570475959248558|-0.109409387787887|0.163540139033849|0.0176825967830175|0.11878418052549|-0.0653570594671167|-0.0274235101054759|1
79|broadcastnews|15617|69|1825|Comedy, Drama, Romance|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|-0.0520529226467917|-0.0312872232929036|-0.00414005515559156|-0.0561471066108335|-0.0294703516936254|0.00876193198205088|0.0127487077770664|-0.0552836368413727|3
80|buffythevampireslayer|12742|44|1451|Action, Comedy, Horror|1|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0.0288973528147932|-0.000915506156776875|0.0465566758616804|0.00479245503692582|-0.0430877769411743|-0.0295540012526309|0.0255588557919633|-0.0346833339450979|3
81|bulldurham|13538|51|1464|Comedy, Drama, Romance|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0.0247419774226896|-0.0351511439111085|0.0549166290745999|-0.0532043943877737|0.0625001643130355|0.027271125136768|-0.149428236055826|-0.0808197726712005|3
82|butterflyeffectthe|13972|34|1487|Drama, Fantasy, Thriller|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0.00423622921420431|0.0149773869328176|0.0534131168662929|0.0541910337494783|0.00854625471378269|0.01717689077818|-0.0398313549021836|-0.00966945345417292|3
83|capote|11901|48|1416|Crime, Drama|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0299216084745234|0.0154685498572706|0.00487491107180939|0.0159723617236888|0.00963455465437418|0.058354002425367|0.0325037803403231|-0.009819467158637|2
84|cars2|13721|61|1732|Action, Adventure, Animation|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|-0.0252107060175864|0.0391267995347729|-0.0082665881561662|-0.0635081995582392|-0.019952068037333|-0.0731514919378074|0.00535320367675245|-0.0627201934371394|3
