movie|character|tokenCount|characterCount|sectionCount|anger|anticipation|disgust|fear|joy|sadness|surprise|trust
gangrelated|Manny|83|1|29|0.156626506024096|0.108433734939759|0.0963855421686747|0.204819277108434|0.0843373493975904|0.0963855421686747|0.108433734939759|0.204819277108434
gangrelated|Simms|77|1|23|0.0649350649350649|0.168831168831169|0.0649350649350649|0.103896103896104|0.12987012987013|0.103896103896104|0.12987012987013|0.142857142857143
gangrelated|Vic|74|1|7|0.202702702702703|0.121621621621622|0.0675675675675676|0.108108108108108|0.0810810810810811|0.108108108108108|0.0945945945945946|0.189189189189189
gangrelated|William|64|1|24|0.171875|0.125|0|0.25|0.0625|0.171875|0.140625|0.09375
gangrelated|Capt. Henderson|52|1|12|0.0576923076923077|0.0576923076923077|0.0576923076923077|0.134615384615385|0.0192307692307692|0.134615384615385|0.0384615384615385|0.115384615384615
gangrelated|Richard Stein|47|1|18|0.127659574468085|0.191489361702128|0.0638297872340426|0.191489361702128|0.0425531914893617|0.106382978723404|0.127659574468085|0.106382978723404
gangrelated|Judge Harold Pine|34|1|11|0.205882352941176|0.264705882352941|0.0882352941176471|0.205882352941176|0.0294117647058824|0.0588235294117647|0.0294117647058824|0.0588235294117647
gangrelated|Bailiff|28|1|6|0.107142857142857|0.0714285714285714|0.0357142857142857|0.142857142857143|0.0357142857142857|0.0714285714285714|0|0.214285714285714
gangrelated|Newscaster|27|1|1|0|0.037037037037037|0|0.0740740740740741|0|0.0740740740740741|0.037037037037037|0.148148148148148
gangrelated|Dave|25|1|7|0.16|0.16|0.04|0.16|0.08|0.04|0.08|0.08
gangrelated|Desk Officer|25|1|6|0.16|0|0.12|0.12|0.04|0.12|0.04|0.08
gangrelated|The Gun Seller|21|1|4|0.19047619047619|0.285714285714286|0.0476190476190476|0.142857142857143|0.238095238095238|0.0952380952380952|0.19047619047619|0.380952380952381
