movie,leftSpaceCount,pctTokens,pctRecords,pctTokensI,pctTokensQuestionMark,pctTokensQuestionWord,pctTokensYou,pctTokensWe,pctTokensCapitalized,pctTokensCharacterMention,pctTokensCharacterMentionCapitalized,pctLinesCharacterMention,pctLinesCharacterMentionCapitalized,pctLinesOnlyCapitalizedCharacterMention,pctLinesCharacterDirection,pctLinesCapitalized,pctLinesSetting,dialogueIndentInd,characterIndentInd,descriptionIndentInd,settingIndentInd,characterDirectionIndentInd,mixedCharacterWithDialogueIndentInd,mixedDescriptionWithDialogueIndentInd,dialogueIndentCount,characterIndentCount,descriptionIndentCount,settingIndentCount,characterDirectionIndentCount,mixedCharacterWithDialogueIndentCount,mixedDescriptionWithDialogueIndentCount,entropy,pctRecordsDropped,pctTokensDropped
shivers,41,0.00010254832589858,0.000341180484476288,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
shivers,43,5.12741629492899e-05,0.000341180484476288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.06165553826357,0.0607301262367793,0.0209198584833103
shrekthethird,10,0.558761603981242,0.356406142562457,0.000342553738117667,8.56384345294168e-05,0.00325426051211784,8.56384345294168e-05,0.000685107476235334,0.0339984585081785,0.0868373726128286,0.00111329964888242,0.652090032154341,0.00836012861736334,0,0.0244372990353698,0.0572347266881029,0.0565916398713826,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
shrekthethird,11,0.377165278974065,0.407976163190465,0.0326059375792946,0.0300685105303223,0.00951535143364628,0.0478304998731286,0.00723166708957118,0.00913473737630043,0.0371733062674448,0.00202994163917787,0.164606741573034,0.00898876404494382,0.00168539325842697,0.0370786516853933,0.0179775280898876,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
shrekthethird,12,0.000382811752320796,0.000229200091680037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
shrekthethird,25,9.57029380801991e-05,0.000229200091680037,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
shrekthethird,26,0.0632117906019715,0.234471693788678,0,0,0,0.000757002271006813,0,1,0.55336866010598,0.55336866010598,0.714565004887586,0.714565004887586,0.541544477028348,0.102639296187683,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
shrekthethird,32,0.000143554407120299,0.000229200091680037,0,0,0,0,0,1,0.333333333333333,0.333333333333333,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
shrekthethird,35,9.57029380801991e-05,0.000229200091680037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
shrekthethird,47,0.000143554407120299,0.000229200091680037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1.26214012024322,0.00114600045840018,0.000861326442721792
sideways,15,0.464256891645075,0.304988216810683,0,0.000823421774931382,0.0020128087831656,9.14913083257091e-05,0.00247026532479414,0.163586459286368,0.0752058554437329,0.00640439158279963,0.529298132646491,0.0450740502253703,0.00643915003219575,0,0.198969735994849,0.112685125563426,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,25,0.46858938962749,0.44363707776905,0.0487672226250906,0.0368926758520667,0.0105148658448151,0.0552030456852792,0.0109680928208847,0.00135968092820885,0.0192168237853517,9.06453952139231e-05,0.0938468348826915,0.000442673749446658,0,0,0.000885347498893316,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,30,0.0175848447521556,0.0359387274155538,0,0,0,0,0,0.00483091787439614,0.0652173913043478,0,0.147540983606557,0,0,0.994535519125683,0.00546448087431694,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,31,0.000169901881663339,0.000196386488609584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,34,0.000339803763326679,0.000392772977219167,0,0,0,0,0,0.375,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,35,0.000254852822495009,0.000392772977219167,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,36,8.49509408316697e-05,0.000196386488609584,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,37,0.0466380665165867,0.209347996857816,0,0,0,0,0,0.997267759562842,0.91712204007286,0.91712204007286,0.944652908067542,0.944652908067542,0.937148217636022,0.000938086303939962,0.99718574108818,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,38,8.49509408316697e-05,0.000196386488609584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,39,0.000212377352079174,0.000392772977219167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
sideways,40,8.49509408316697e-05,0.000392772977219167,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1.37034044562101,0.0420267085624509,0.0205156522108482
